image_path,flower_type,color,Linalool,Geraniol,Citronellol
train/daisy/14272874304_47c0a46f5a.jpg,daisy,purple,0.47,0.39,0.451
train/daisy/14307766919_fac3c37a6b_m.jpg,daisy,red,0.403,0.312,0.382
train/daisy/14330343061_99478302d4_m.jpg,daisy,white,0.174,0.468,0.515
train/daisy/14332947164_9b13513c71_m.jpg,daisy,white,0.564,0.484,0.44
train/daisy/14333681205_a07c9f1752_m.jpg,daisy,red,0.275,0.356,0.338
train/daisy/14350958832_29bdd3a254.jpg,daisy,pink,0.352,0.393,0.554
train/daisy/14354051035_1037b30421_n.jpg,daisy,purple,0.216,0.18,0.344
train/daisy/14372713423_61e2daae88.jpg,daisy,white,0.166,0.171,0.315
train/daisy/14399435971_ea5868c792.jpg,daisy,red,0.165,0.534,0.396
train/daisy/14402451388_56545a374a_n.jpg,daisy,red,0.179,0.141,0.232
train/daisy/14421389519_d5fd353eb4.jpg,daisy,pink,0.476,0.264,0.357
train/daisy/14471433500_cdaa22e3ea_m.jpg,daisy,purple,0.432,0.271,0.42
train/daisy/14485782498_fb342ec301.jpg,daisy,yellow,0.203,0.252,0.432
train/daisy/14507818175_05219b051c_m.jpg,daisy,yellow,0.507,0.483,0.554
train/daisy/14523675369_97c31d0b5b.jpg,daisy,white,0.121,0.238,0.36
train/daisy/14551098743_2842e7a004_n.jpg,daisy,purple,0.277,0.336,0.539
train/daisy/14554906452_35f066ffe9_n.jpg,daisy,red,0.353,0.233,0.287
train/daisy/14564545365_1f1d267bf1_n.jpg,daisy,pink,0.586,0.268,0.244
train/daisy/14569895116_32f0dcb0f9.jpg,daisy,red,0.299,0.318,0.546
train/daisy/14591326135_930703dbed_m.jpg,daisy,red,0.314,0.501,0.177
train/daisy/14600779226_7bbc288d40_m.jpg,daisy,red,0.234,0.388,0.372
train/daisy/14613443462_d4ed356201.jpg,daisy,purple,0.314,0.357,0.229
train/daisy/14621687774_ec52811acd_n.jpg,daisy,purple,0.441,0.514,0.2
train/daisy/14674743211_f68b13f6d9.jpg,daisy,red,0.408,0.463,0.324
train/daisy/14698531521_0c2f0c6539.jpg,daisy,pink,0.385,0.587,0.139
train/daisy/14707111433_cce08ee007.jpg,daisy,red,0.476,0.373,0.313
train/daisy/14716799982_ed6d626a66.jpg,daisy,white,0.147,0.562,0.506
train/daisy/14816364517_2423021484_m.jpg,daisy,yellow,0.507,0.317,0.268
train/daisy/14866200659_6462c723cb_m.jpg,daisy,purple,0.397,0.208,0.463
train/daisy/14907815010_bff495449f.jpg,daisy,yellow,0.412,0.201,0.572
train/daisy/14921511479_7b0a647795.jpg,daisy,purple,0.13,0.497,0.223
train/daisy/15029936576_8d6f96c72c_n.jpg,daisy,yellow,0.477,0.353,0.428
train/daisy/15306268004_4680ba95e1.jpg,daisy,pink,0.457,0.117,0.299
train/daisy/15327813273_06cdf42210.jpg,daisy,red,0.368,0.53,0.486
train/daisy/15760153042_a2a90e9da5_m.jpg,daisy,pink,0.298,0.413,0.469
train/daisy/15760811380_4d686c892b_n.jpg,daisy,red,0.436,0.526,0.379
train/daisy/15784493690_b1858cdb2b_n.jpg,daisy,pink,0.565,0.156,0.395
train/daisy/15813862117_dedcd1c56f_m.jpg,daisy,purple,0.306,0.179,0.194
train/daisy/15853110333_229c439e7f.jpg,daisy,purple,0.377,0.315,0.107
train/daisy/16020253176_60f2a6a5ca_n.jpg,daisy,pink,0.273,0.319,0.113
train/daisy/16025261368_911703a536_n.jpg,daisy,pink,0.333,0.32,0.102
train/daisy/16121105382_b96251e506_m.jpg,daisy,purple,0.233,0.191,0.575
train/daisy/16161045294_70c76ce846_n.jpg,daisy,pink,0.364,0.171,0.282
train/daisy/16291797949_a1b1b7c2bd_n.jpg,daisy,purple,0.145,0.539,0.539
train/daisy/16360180712_b72695928c_n.jpg,daisy,red,0.541,0.231,0.283
train/daisy/16401288243_36112bd52f_m.jpg,daisy,pink,0.588,0.357,0.281
train/daisy/16482676953_5296227d40_n.jpg,daisy,yellow,0.193,0.468,0.186
train/daisy/16492248512_61a57dfec1_m.jpg,daisy,red,0.415,0.11,0.311
train/daisy/16527403771_2391f137c4_n.jpg,daisy,pink,0.366,0.582,0.129
train/daisy/16737503507_431768a927.jpg,daisy,yellow,0.192,0.322,0.592
train/daisy/16819071290_471d99e166_m.jpg,daisy,white,0.166,0.572,0.279
train/daisy/16833748795_b681b2839f_n.jpg,daisy,purple,0.489,0.193,0.33
train/daisy/17027891179_3edc08f4f6.jpg,daisy,white,0.323,0.476,0.257
train/daisy/17101762155_2577a28395.jpg,daisy,yellow,0.133,0.178,0.548
train/daisy/17249393016_093e915012_n.jpg,daisy,pink,0.484,0.185,0.356
train/daisy/17357636476_1953c07aa4_n.jpg,daisy,white,0.178,0.156,0.173
train/daisy/18023717391_e2c9089e10.jpg,daisy,purple,0.46,0.136,0.293
train/daisy/18195689904_46619b7e16_n.jpg,daisy,yellow,0.212,0.32,0.277
train/daisy/18203367608_07a04e98a4_n.jpg,daisy,yellow,0.24,0.482,0.175
train/daisy/18354545086_693ea7bc2a.jpg,daisy,white,0.493,0.329,0.165
train/daisy/18400014056_2e4c601ed5.jpg,daisy,pink,0.187,0.529,0.181
train/daisy/18442919723_d1251d3e14_n.jpg,daisy,white,0.426,0.21,0.372
train/daisy/18474740346_ffdaa18032.jpg,daisy,pink,0.362,0.262,0.128
train/daisy/18582579815_4c6637e9ff_m.jpg,daisy,purple,0.265,0.538,0.1
train/daisy/18622672908_eab6dc9140_n.jpg,daisy,pink,0.459,0.442,0.36
train/daisy/18635898912_eb8e058ef0.jpg,daisy,white,0.229,0.278,0.45
train/daisy/18679421522_3be9879e32.jpg,daisy,pink,0.496,0.266,0.445
train/daisy/18684594849_7dd3634f5e_n.jpg,daisy,white,0.293,0.141,0.246
train/daisy/18711159980_11d3bd5042.jpg,daisy,red,0.359,0.517,0.192
train/daisy/18901817451_43e2b45f6c.jpg,daisy,purple,0.108,0.426,0.156
train/daisy/19019544592_b64469bf84_n.jpg,daisy,red,0.534,0.25,0.492
train/daisy/19177263840_6a316ea639.jpg,daisy,yellow,0.187,0.403,0.106
train/daisy/19178753159_a471bf4b6b.jpg,daisy,pink,0.366,0.246,0.118
train/daisy/19280272025_57de24e940_m.jpg,daisy,purple,0.328,0.421,0.497
train/daisy/19544831049_0d738d4872_m.jpg,daisy,yellow,0.326,0.391,0.192
train/daisy/19653086178_28156b7ce4_m.jpg,daisy,purple,0.45,0.443,0.583
train/daisy/19813618946_93818db7aa_m.jpg,daisy,purple,0.148,0.223,0.479
train/daisy/19834392829_7d697871f6.jpg,daisy,red,0.102,0.206,0.178
train/daisy/19865728236_a62f8f445b_n.jpg,daisy,white,0.13,0.204,0.243
train/daisy/19975899671_ebc42b7865_n.jpg,daisy,pink,0.418,0.129,0.58
train/daisy/20182559506_40a112f762.jpg,daisy,red,0.114,0.417,0.269
train/daisy/20289938802_e16fa9f23d.jpg,daisy,pink,0.479,0.558,0.365
train/daisy/20329326505_a777c71cc2.jpg,daisy,yellow,0.578,0.318,0.522
train/daisy/20580471306_ab5a011b15_n.jpg,daisy,pink,0.411,0.199,0.544
train/daisy/20619292635_9857a12d54.jpg,daisy,red,0.257,0.101,0.159
train/daisy/20685027271_0e7306e7c1_n.jpg,daisy,yellow,0.384,0.339,0.404
train/daisy/20703737132_179560d0fb.jpg,daisy,purple,0.234,0.176,0.123
train/daisy/20773528301_008fcbc5a1_n.jpg,daisy,pink,0.27,0.501,0.31
train/daisy/20948886919_cac7844f34_n.jpg,daisy,pink,0.154,0.268,0.535
train/daisy/21402054779_759366efb0_n.jpg,daisy,pink,0.278,0.276,0.6
train/daisy/21626652132_97e1318bb8_m.jpg,daisy,red,0.256,0.56,0.181
train/daisy/21805938544_bf6bb0e4bc.jpg,daisy,white,0.39,0.358,0.148
train/daisy/22244161124_53e457bb66_n.jpg,daisy,purple,0.29,0.294,0.588
train/daisy/22873310415_3a5674ec10_m.jpg,daisy,pink,0.345,0.542,0.103
train/daisy/23095658544_7226386954_n.jpg,daisy,yellow,0.148,0.149,0.595
train/daisy/2481823240_eab0d86921.jpg,daisy,purple,0.396,0.465,0.271
train/daisy/2482982436_a2145359e0_n.jpg,daisy,white,0.205,0.521,0.493
train/daisy/2488902131_3417698611_n.jpg,daisy,yellow,0.18,0.157,0.3
train/daisy/2498632196_e47a472d5a.jpg,daisy,pink,0.19,0.344,0.331
train/daisy/2509545845_99e79cb8a2_n.jpg,daisy,yellow,0.256,0.355,0.466
train/daisy/2511306240_9047015f2d_n.jpg,daisy,red,0.443,0.275,0.534
train/daisy/2513618768_ff7c004796_m.jpg,daisy,red,0.149,0.328,0.15
train/daisy/2514748602_343d4727c0_n.jpg,daisy,pink,0.575,0.208,0.464
train/daisy/2520369272_1dcdb5a892_m.jpg,daisy,yellow,0.349,0.255,0.123
train/daisy/2521408074_e6f86daf21_n.jpg,daisy,yellow,0.599,0.431,0.313
train/daisy/2536529152_33ef3ee078_n.jpg,daisy,yellow,0.208,0.24,0.449
train/daisy/2538504987_fe524b92a8_n.jpg,daisy,white,0.568,0.465,0.113
train/daisy/2539552964_921cf645ba_n.jpg,daisy,purple,0.588,0.244,0.463
train/daisy/2551708158_1f10e81e11.jpg,daisy,purple,0.245,0.364,0.475
train/daisy/2556503265_63ae6b9e0e_m.jpg,daisy,pink,0.472,0.551,0.217
train/daisy/2561352120_7961d8263f.jpg,daisy,pink,0.139,0.472,0.252
train/daisy/2561371688_c80a4fe957_n.jpg,daisy,red,0.501,0.35,0.489
train/daisy/2567033807_8e918c53d8_n.jpg,daisy,yellow,0.241,0.27,0.131
train/daisy/2573240560_ff7ffdd449.jpg,daisy,purple,0.352,0.396,0.31
train/daisy/2578695910_5ab8ee17c1_n.jpg,daisy,pink,0.391,0.334,0.15
train/daisy/2579018590_74359dcf1a_m.jpg,daisy,red,0.201,0.462,0.215
train/daisy/2581171297_b0a249b92b_n.jpg,daisy,yellow,0.575,0.491,0.424
train/daisy/2590291468_2635d3e4e0_n.jpg,daisy,pink,0.166,0.481,0.129
train/daisy/2599662355_7782218c83.jpg,daisy,red,0.323,0.494,0.399
train/daisy/2607132536_d95198e619_n.jpg,daisy,yellow,0.42,0.174,0.221
train/daisy/2611119198_9d46b94392.jpg,daisy,yellow,0.248,0.501,0.453
train/daisy/2612704455_efce1c2144_m.jpg,daisy,white,0.253,0.361,0.544
train/daisy/2617111535_54c2ac8462.jpg,daisy,yellow,0.481,0.183,0.434
train/daisy/2619413565_61a6cd3ac9_m.jpg,daisy,pink,0.167,0.544,0.163
train/daisy/2621723097_736febb4a4_n.jpg,daisy,purple,0.316,0.342,0.342
train/daisy/2627815904_919373e7f5.jpg,daisy,purple,0.35,0.406,0.222
train/daisy/2632216904_274aa17433.jpg,daisy,purple,0.581,0.56,0.138
train/daisy/2635314490_e12d3b0f36_m.jpg,daisy,yellow,0.518,0.282,0.453
train/daisy/2641151167_3bf1349606_m.jpg,daisy,pink,0.551,0.477,0.381
train/daisy/2641979584_2b21c3fe29_m.jpg,daisy,pink,0.567,0.552,0.491
train/daisy/2642408410_61545fdc83_n.jpg,daisy,purple,0.471,0.246,0.209
train/daisy/2646438199_b309cffd65_n.jpg,daisy,yellow,0.386,0.219,0.444
train/daisy/2649404904_b7a91991bb_n.jpg,daisy,red,0.307,0.366,0.295
train/daisy/2666572212_2caca8de9f_n.jpg,daisy,yellow,0.189,0.377,0.39
train/daisy/2713919471_301fcc941f.jpg,daisy,red,0.26,0.184,0.431
train/daisy/2812442552_3eed5fb9f2_m.jpg,daisy,pink,0.259,0.123,0.543
train/daisy/2828733818_1c1ed0089d_n.jpg,daisy,yellow,0.166,0.179,0.198
train/daisy/2838487505_6c3b48efa5_m.jpg,daisy,pink,0.117,0.252,0.359
train/daisy/2862944799_45bc8e7302.jpg,daisy,red,0.519,0.498,0.276
train/daisy/2877860110_a842f8b14a_m.jpg,daisy,pink,0.312,0.253,0.105
train/daisy/2889325612_f2fc403ff0_m.jpg,daisy,red,0.145,0.462,0.3
train/daisy/2901376034_cdb4bac26b_m.jpg,daisy,pink,0.333,0.434,0.359
train/daisy/2908212142_5437fa67ff_n.jpg,daisy,white,0.297,0.347,0.408
train/daisy/3025866885_22fb0b61c6_n.jpg,daisy,red,0.103,0.46,0.141
train/daisy/3080880039_4f1bd592e5_n.jpg,daisy,red,0.583,0.201,0.582
train/daisy/3084924076_4d5c5711af_m.jpg,daisy,white,0.304,0.337,0.337
train/daisy/3098641292_76c908ba1f_n.jpg,daisy,white,0.21,0.234,0.105
train/daisy/3117644024_1cbb59a509_n.jpg,daisy,purple,0.393,0.137,0.212
train/daisy/3275951182_d27921af97_n.jpg,daisy,yellow,0.455,0.425,0.477
train/daisy/3285641623_da0e47f49a.jpg,daisy,white,0.275,0.48,0.266
train/daisy/3310644753_5607eb96a4_m.jpg,daisy,pink,0.564,0.35,0.388
train/daisy/3326037909_b5ae370722_n.jpg,daisy,yellow,0.594,0.444,0.542
train/daisy/3336704121_cfeb67a7d7.jpg,daisy,red,0.48,0.463,0.148
train/daisy/3337536080_1db19964fe.jpg,daisy,white,0.596,0.226,0.558
train/daisy/3337643329_accc9b5426.jpg,daisy,yellow,0.348,0.181,0.556
train/daisy/3338077096_3a8ed0e2bc_m.jpg,daisy,purple,0.375,0.481,0.589
train/daisy/3356112863_75da8bca2c_m.jpg,daisy,red,0.376,0.316,0.445
train/daisy/3379332157_04724f6480.jpg,daisy,white,0.444,0.253,0.523
train/daisy/3386988684_bc5a66005e.jpg,daisy,purple,0.383,0.581,0.344
train/daisy/3410906335_37e8a24b1c_n.jpg,daisy,pink,0.458,0.212,0.146
train/daisy/3415180846_d7b5cced14_m.jpg,daisy,yellow,0.342,0.232,0.503
train/daisy/3440366251_5b9bdf27c9_m.jpg,daisy,pink,0.495,0.567,0.466
train/daisy/3445110406_0c1616d2e3_n.jpg,daisy,yellow,0.537,0.286,0.498
train/daisy/3450822975_7e77d67636_n.jpg,daisy,white,0.143,0.227,0.443
train/daisy/3456403987_5bd5fa6ece_n.jpg,daisy,red,0.106,0.498,0.408
train/daisy/3463313493_9497aa47e5_n.jpg,daisy,pink,0.556,0.115,0.165
train/daisy/3468498624_d082f99e98.jpg,daisy,yellow,0.13,0.302,0.307
train/daisy/3474942718_c418dae6f1.jpg,daisy,red,0.531,0.297,0.148
train/daisy/3475870145_685a19116d.jpg,daisy,white,0.59,0.257,0.351
train/daisy/3483303007_42e3f90da7.jpg,daisy,red,0.536,0.316,0.149
train/daisy/3491933306_43cfe2cfbe.jpg,daisy,purple,0.523,0.128,0.488
train/daisy/3494265422_9dba8f2191_n.jpg,daisy,white,0.12,0.569,0.134
train/daisy/3504430338_77d6a7fab4_n.jpg,daisy,purple,0.543,0.34,0.281
train/daisy/3506866918_61dd5fc53b_n.jpg,daisy,white,0.567,0.278,0.191
train/daisy/3533954656_79156c8473.jpg,daisy,yellow,0.482,0.361,0.263
train/daisy/3546455114_cd2dea5e02.jpg,daisy,white,0.592,0.394,0.284
train/daisy/3552074420_2a0a7166db_m.jpg,daisy,purple,0.109,0.245,0.527
train/daisy/3588872598_e0f9a1d2a1_m.jpg,daisy,yellow,0.247,0.475,0.465
train/daisy/3598615130_578ed30e5f.jpg,daisy,yellow,0.161,0.586,0.562
train/daisy/3611577717_f3a7a8c416_n.jpg,daisy,yellow,0.383,0.104,0.573
train/daisy/3625257860_33efeef614_m.jpg,daisy,yellow,0.297,0.383,0.325
train/daisy/3627678863_557552c879_m.jpg,daisy,pink,0.296,0.583,0.269
train/daisy/3628485766_4ff937954a_n.jpg,daisy,yellow,0.445,0.276,0.121
train/daisy/3633489595_a037a9b7a4_m.jpg,daisy,white,0.312,0.188,0.431
train/daisy/3637428148_a1dcccafa9_n.jpg,daisy,purple,0.592,0.455,0.414
train/daisy/3639009391_0f910681b7.jpg,daisy,red,0.594,0.407,0.134
train/daisy/3640845041_80a92c4205_n.jpg,daisy,purple,0.366,0.109,0.287
train/daisy/3661613900_b15ca1d35d_m.jpg,daisy,red,0.272,0.561,0.148
train/daisy/3695826945_9f374e8a00_m.jpg,daisy,pink,0.445,0.133,0.183
train/daisy/3699235066_fc09a02dfe_m.jpg,daisy,purple,0.112,0.256,0.564
train/daisy/3703643767_dee82cdef9_n.jpg,daisy,purple,0.302,0.549,0.413
train/daisy/3704305945_a80e60e2f6_m.jpg,daisy,pink,0.227,0.508,0.521
train/daisy/3704306975_75b74497d8.jpg,daisy,yellow,0.272,0.494,0.194
train/daisy/3706420943_66f3214862_n.jpg,daisy,purple,0.356,0.163,0.339
train/daisy/3711723108_65247a3170.jpg,daisy,purple,0.106,0.304,0.508
train/daisy/3711892138_b8c953fdc1_z.jpg,daisy,yellow,0.21,0.235,0.469
train/daisy/3713290261_8a66de23ab.jpg,daisy,yellow,0.211,0.158,0.564
train/daisy/3717746329_53f515c6a6_m.jpg,daisy,white,0.298,0.315,0.591
train/daisy/3720632920_93cf1cc7f3_m.jpg,daisy,red,0.155,0.177,0.424
train/daisy/3750250718_eb61146c5f.jpg,daisy,purple,0.439,0.278,0.247
train/daisy/3750771898_cfd50090ba_n.jpg,daisy,yellow,0.46,0.593,0.492
train/daisy/3758221664_b19116d61f.jpg,daisy,purple,0.295,0.158,0.164
train/daisy/3764116502_f394428ee0_n.jpg,daisy,red,0.376,0.468,0.383
train/daisy/3773181799_5def396456.jpg,daisy,purple,0.193,0.472,0.228
train/daisy/3780380240_ef9ec1b737_m.jpg,daisy,purple,0.272,0.159,0.42
train/daisy/3848258315_ed2fde4fb4.jpg,daisy,purple,0.11,0.171,0.397
train/daisy/3861452393_14d2f95157_m.jpg,daisy,purple,0.294,0.549,0.249
train/daisy/3900172983_9312fdf39c_n.jpg,daisy,white,0.592,0.146,0.258
train/daisy/3939135368_0af5c4982a_n.jpg,daisy,white,0.576,0.484,0.314
train/daisy/3957488431_52a447c0e8_m.jpg,daisy,yellow,0.503,0.596,0.288
train/daisy/3962240986_0661edc43a_n.jpg,daisy,red,0.23,0.342,0.498
train/daisy/3963330924_6c6a3fa7be_n.jpg,daisy,pink,0.136,0.142,0.226
train/daisy/3975010332_3209f9f447_m.jpg,daisy,pink,0.38,0.5,0.402
train/daisy/3999978867_c67c79597f_m.jpg,daisy,white,0.234,0.231,0.488
train/daisy/4065883015_4bb6010cb7_n.jpg,daisy,purple,0.277,0.202,0.212
train/daisy/4085794721_7cd88e0a6c_m.jpg,daisy,yellow,0.522,0.503,0.18
train/daisy/4117918318_3c8935289b_m.jpg,daisy,white,0.396,0.487,0.308
train/daisy/4131565290_0585c4dd5a_n.jpg,daisy,purple,0.284,0.256,0.389
train/daisy/4141147800_813f660b47.jpg,daisy,red,0.453,0.4,0.388
train/daisy/4144275653_7c02d47d9b.jpg,daisy,red,0.282,0.594,0.553
train/daisy/4222584034_8964cbd3de.jpg,daisy,red,0.203,0.419,0.101
train/daisy/4229503616_9b8a42123c_n.jpg,daisy,pink,0.583,0.362,0.427
train/daisy/4258408909_b7cc92741c_m.jpg,daisy,white,0.11,0.285,0.562
train/daisy/4268817944_cdbdb226ae.jpg,daisy,purple,0.23,0.556,0.342
train/daisy/4276898893_609d11db8b.jpg,daisy,purple,0.379,0.473,0.557
train/daisy/4278442064_a5a598524b_m.jpg,daisy,white,0.302,0.496,0.333
train/daisy/4281102584_c548a69b81_m.jpg,daisy,yellow,0.362,0.25,0.141
train/daisy/4286053334_a75541f20b_m.jpg,daisy,white,0.13,0.144,0.104
train/daisy/4301689054_20519e5b68.jpg,daisy,purple,0.275,0.102,0.196
train/daisy/4318007511_e9f4311936_n.jpg,daisy,white,0.408,0.539,0.105
train/daisy/4333085242_bbeb3e2841_m.jpg,daisy,purple,0.108,0.167,0.252
train/daisy/4407065098_ef25f1ccac_n.jpg,daisy,red,0.332,0.469,0.442
train/daisy/4413849849_b8d2f3bcf1_n.jpg,daisy,pink,0.551,0.47,0.381
train/daisy/4432271543_01c56ca3a9.jpg,daisy,red,0.374,0.23,0.223
train/daisy/4434592930_6610d51fca_m.jpg,daisy,red,0.399,0.542,0.378
train/daisy/4440480869_632ce6aff3_n.jpg,daisy,yellow,0.165,0.119,0.536
train/daisy/4482623536_b9fb5ae41f_n.jpg,daisy,red,0.226,0.562,0.348
train/daisy/4496202781_1d8e776ff5_n.jpg,daisy,white,0.578,0.224,0.271
train/daisy/4511693548_20f9bd2b9c_m.jpg,daisy,pink,0.124,0.23,0.182
train/daisy/4534460263_8e9611db3c_n.jpg,daisy,white,0.405,0.47,0.369
train/daisy/4538877108_3c793f7987_m.jpg,daisy,pink,0.274,0.523,0.58
train/daisy/4540555191_3254dc4608_n.jpg,daisy,red,0.418,0.261,0.222
train/daisy/4544110929_a7de65d65f_n.jpg,daisy,red,0.134,0.194,0.487
train/daisy/4561871220_47f420ca59_m.jpg,daisy,white,0.277,0.269,0.114
train/daisy/4563059851_45a9d21a75.jpg,daisy,yellow,0.387,0.237,0.437
train/daisy/4565255237_9ba29c4d4e_n.jpg,daisy,red,0.467,0.378,0.236
train/daisy/4581199679_867652c3f1_n.jpg,daisy,purple,0.516,0.165,0.424
train/daisy/4598422221_b37313a3e3_n.jpg,daisy,white,0.293,0.492,0.542
train/daisy/4610018126_21f438d2dc_m.jpg,daisy,purple,0.199,0.208,0.573
train/daisy/4613992315_143ccc2a10_m.jpg,daisy,white,0.251,0.367,0.164
train/daisy/4646886118_b5c5ceaf6d_n.jpg,daisy,white,0.237,0.374,0.583
train/daisy/4654579740_6671a53627_m.jpg,daisy,pink,0.159,0.155,0.192
train/daisy/4657354814_f368762c53_m.jpg,daisy,purple,0.411,0.403,0.285
train/daisy/4666648087_b10f376f19.jpg,daisy,pink,0.517,0.241,0.499
train/daisy/4668543441_79040ca329_n.jpg,daisy,purple,0.401,0.372,0.113
train/daisy/4669117051_ce61e91b76.jpg,daisy,purple,0.125,0.338,0.474
train/daisy/4683997791_56e7d3c03c_n.jpg,daisy,purple,0.124,0.308,0.102
train/daisy/4694730335_2553e77aa5_z.jpg,daisy,pink,0.239,0.512,0.407
train/daisy/4694734757_5c563d38dd_n.jpg,daisy,red,0.274,0.317,0.224
train/daisy/4697206799_19dd2a3193_m.jpg,daisy,red,0.304,0.576,0.427
train/daisy/4724713781_d169f98a35.jpg,daisy,pink,0.136,0.142,0.561
train/daisy/4727955343_0bb23ac4ae.jpg,daisy,yellow,0.444,0.325,0.334
train/daisy/4746633946_23933c0810.jpg,daisy,purple,0.242,0.352,0.131
train/daisy/4753134939_8e87649db6.jpg,daisy,purple,0.579,0.25,0.477
train/daisy/4757448834_a29a9538c9_n.jpg,daisy,pink,0.36,0.152,0.542
train/daisy/4792826628_aa5e5a9804_n.jpg,daisy,yellow,0.332,0.412,0.448
train/daisy/4814515275_6e25a6c18f.jpg,daisy,purple,0.44,0.269,0.292
train/daisy/4820415253_15bc3b6833_n.jpg,daisy,purple,0.248,0.205,0.284
train/daisy/4837182901_69a6cc782b_n.jpg,daisy,pink,0.306,0.394,0.371
train/daisy/4851353993_2cbbbd1040_n.jpg,daisy,purple,0.453,0.347,0.255
